反應項,反應次數(202),反應比率,反應時間,第一反應次數,第一反應比率,第一反應之反應時間,排序,頻次,類別,yyy排序,代號,AS排名,頻率,百分比,累積百分比
熊(Na),7,0.04,5.03,3,0.02,5.88,2.9,0,28,43,3464,3463,155,0.003,74.414
熊(Na),6,0.03,5.04,3,0.02,5.88,2.5,0,28,44,3464,3463,155,0.003,74.414
熊熊(Na),1,0.01,4.97,0,0.00,0,5.0,0,28,45,na,na,na,na,na
跳繩(Na),7,0.04,5.65,1,0.01,5.86,4.3,9,28,46,na,na,na,na,na
陀螺(Na),7,0.04,5.6,0,0.00,0,5.0,7,28,47,47712,44359,5,0.000,95.922
氣球(Na),7,0.04,3.6,1,0.01,4.3,3.0,30,28,48,13480,13312,30,0.001,87.582
金剛(Na),7,0.04,5.46,0,0.00,0,3.4,9,28,49,13518,13312,30,0.001,87.606
手槍(Na),7,0.04,3.8,4,0.02,3.89,1.6,5,28,50,5575,5520,89,0.002,79.450
手槍(Na),4,0.02,4.81,3,0.02,4.29,1.5,5,28,51,5575,5520,89,0.002,79.450
槍(Na),3,0.02,2.45,1,0.01,2.69,1.7,0,28,52,3939,3933,134,0.003,75.817
鐵金剛(Na),6,0.03,4.04,0,0.00,0,3.3,0,28,53,na,na,na,na,na
鐵金剛(Na),3,0.02,3.67,0,0.00,0,3.0,0,28,54,na,na,na,na,na
無敵鐵金剛(Na),3,0.02,4.41,0,0.00,0,3.7,0,28,55,na,na,na,na,na
布娃娃(Na),6,0.03,5.52,2,0.01,6.64,2.8,2,28,56,145823,93826,1,0.000,99.597
象棋(Na),6,0.03,5.58,0,0.00,0,4.8,22,28,57,27819,27329,11,0.000,92.918
黏土(Na),6,0.03,4,0,0.00,0,3.3,11,28,58,31216,31067,9,0.000,93.636
大富翁(Na),6,0.03,6.62,1,0.01,7.84,3.7,2,28,59,152116,93826,1,0.000,99.726
家家酒(Na),6,0.03,5.49,0,0.00,0,4.7,1,28,60,54103,50049,4,0.000,96.494
家家酒(Na),2,0.01,5.06,0,0.00,0,5.5,1,28,61,54103,50049,4,0.000,96.494
辦家家酒(Na),2,0.01,4.66,0,0.00,0,4.5,0,28,62,na,na,na,na,na
扮家家酒(Na),1,0.01,7.14,0,0.00,0,5.0,0,28,63,na,na,na,na,na
扮家家(Na),1,0.01,6.33,0,0.00,0,3.0,0,28,64,na,na,na,na,na
遙控汽車(Na),5,0.03,5.38,1,0.01,5.45,3.2,1,28,65,na,na,na,na,na
PSP(Na),5,0.03,4.54,2,0.01,4.04,2.8,0,28,66,na,na,na,na,na
鋼彈(Na),5,0.03,5.36,0,0.00,0,2.8,0,28,67,na,na,na,na,na
Wii(Na),5,0.03,4.13,0,0.00,0,4.0,0,28,68,na,na,na,na,na
模型車(Na),4,0.02,5.26,0,0.00,0,3.0,2,28,69,na,na,na,na,na
模型車(Na),3,0.02,5.66,0,0.00,0,3.0,2,28,70,na,na,na,na,na
車子模型(Na),1,0.01,4.05,0,0.00,0,3.0,0,28,71,na,na,na,na,na
小熊(Na),4,0.02,3.4,0,0.00,0,2.5,2,28,72,na,na,na,na,na
小熊(Na),3,0.02,3.66,0,0.00,0,2.0,2,28,73,na,na,na,na,na
熊寶寶(Na),1,0.01,2.61,0,0.00,0,4.0,0,28,74,na,na,na,na,na
泰迪熊(Na),4,0.02,8.73,1,0.01,17.42,4.3,0,28,75,na,na,na,na,na
泰迪熊(Na),3,0.02,9.78,1,0.01,17.42,3.7,0,28,76,na,na,na,na,na
泰迪(Na),1,0.01,5.56,0,0.00,0,6.0,0,28,77,na,na,na,na,na
反斗城(Na),4,0.02,9.4,2,0.01,12.03,2.5,1,28,78,na,na,na,na,na
反斗城(Na),3,0.02,9.32,1,0.01,14.42,3.0,1,28,79,na,na,na,na,na
玩具反斗城(Na),1,0.01,9.64,1,0.01,9.64,1.0,0,28,80,na,na,na,na,na
狗(Na),4,0.02,3.14,0,0.00,0,6.8,0,28,81,1602,1598,380,0.008,65.350
狗(Na),3,0.02,2.46,0,0.00,0,7.0,0,28,82,1602,1598,380,0.008,65.350
小狗(Na),1,0.01,5.17,0,0.00,0,6.0,24,28,83,na,na,na,na,na
紙娃娃(Na),4,0.02,9.29,0,0.00,0,3.8,2,28,84,na,na,na,na,na
紙娃娃(Na),3,0.02,9.52,0,0.00,0,4.0,2,28,85,na,na,na,na,na
換衣紙人(Na),1,0.01,8.58,0,0.00,0,3.0,0,28,86,na,na,na,na,na
金剛戰士(Na),4,0.02,4.55,2,0.01,5.5,1.8,0,28,87,na,na,na,na,na
撲克牌(Na),4,0.02,6.98,0,0.00,0,3.8,8,28,88,24718,24499,13,0.000,92.143
變形金剛(Na),4,0.02,6.21,0,0.00,0,3.5,0,28,89,na,na,na,na,na
疊疊樂(Na),4,0.02,5.62,0,0.00,0,4.3,0,28,90,na,na,na,na,na
芭蕾(Na),117,0.58,6.38,72,0.36,6.75,2.0,14,29,1,8955,8864,50,0.001,84.015
芭蕾(Na),92,0.46,6.44,57,0.28,6.77,2.0,14,29,2,8955,8864,50,0.001,84.015
