反應項,反應次數(202),反應比率,反應時間,第一反應次數,第一反應比率,第一反應之反應時間,排序,頻次,類別,yyy排序,代號,AS排名,頻率,百分比,累積百分比
及膝襪(Na),2,0.01,3.98,0,0.00,0,5.5,0,31,10,na,na,na,na,na
及膝(Na),1,0.01,10.53,0,0.00,0,4.0,0,31,11,na,na,na,na,na
短襪(Na),72,0.36,3.31,4,0.02,5.36,4.0,1,31,12,114488,93826,1,0.000,98.955
短襪(Na),70,0.35,3.26,4,0.02,5.36,4.0,1,31,13,114488,93826,1,0.000,98.955
短筒襪(Na),2,0.01,4.99,0,0.00,0,4.0,0,31,14,na,na,na,na,na
涼鞋(Na),45,0.22,4.29,3,0.02,5.56,4.5,3,31,15,46630,44359,5,0.000,95.812
絲襪(Na),43,0.21,3.25,2,0.01,4.73,4.6,5,31,16,37515,36388,7,0.000,94.691
拖鞋(Na),40,0.20,3.71,5,0.03,7.35,4.7,7,31,17,14666,14411,27,0.001,88.271
帆布鞋(Na),40,0.20,5.2,12,0.06,7.17,3.4,0,31,18,142794,93826,1,0.000,99.535
帆布鞋(Na),38,0.19,5.16,11,0.06,7.28,3.3,0,31,19,142794,93826,1,0.000,99.535
converse(Na),2,0.01,5.97,1,0.01,5.97,3.5,0,31,20,na,na,na,na,na
靴子(Na),39,0.19,4.23,10,0.05,5.29,3.6,1,31,21,40804,39808,6,0.000,95.142
靴子(Na),38,0.19,4.25,10,0.05,5.29,3.6,1,31,22,40804,39808,6,0.000,95.142
靴(Na),1,0.01,3.42,0,0.00,0,3.0,0,31,23,60666,57995,3,0.000,96.977
慢跑鞋(Na),39,0.19,5.1,7,0.04,6.54,3.1,1,31,24,107358,93826,1,0.000,98.809
慢跑鞋(Na),35,0.17,5.14,5,0.03,6.92,3.3,1,31,25,107358,93826,1,0.000,98.809
跑步鞋(Na),3,0.02,4.4,2,0.01,5.59,1.3,0,31,26,na,na,na,na,na
跑鞋(Na),1,0.01,5.86,0,0.00,0,2.0,1,31,27,113332,93826,1,0.000,98.931
布鞋(Na),35,0.17,4.31,8,0.04,6.68,2.9,3,31,28,33007,31067,9,0.000,93.966
平底鞋(Na),33,0.16,5.53,4,0.02,7.38,3.6,0,31,29,na,na,na,na,na
船型襪(Na),32,0.16,5.2,4,0.02,6.48,4.0,0,31,30,na,na,na,na,na
船型襪(Na),12,0.06,5.96,2,0.01,7.8,4.2,0,31,31,na,na,na,na,na
隱形襪(Na),11,0.06,4.39,0,0.00,0,4.8,0,31,32,na,na,na,na,na
踝襪(Na),7,0.04,5.3,1,0.01,6.56,3.0,0,31,33,na,na,na,na,na
船襪(Na),2,0.01,4.8,1,0.01,3.75,2.5,0,31,34,na,na,na,na,na
娃娃鞋(Na),31,0.15,4.74,5,0.03,7.16,3.7,1,31,35,na,na,na,na,na
皮鞋(Na),31,0.15,3.24,8,0.04,4.74,3.6,10,31,36,11739,11546,36,0.001,86.416
褲襪(Na),26,0.13,3.69,3,0.02,6.47,4.6,0,31,37,100709,93826,1,0.000,98.673
休閒鞋(Na),25,0.12,4.32,3,0.02,4.98,3.8,1,31,38,15177,14812,26,0.001,88.547
泡泡襪(Na),20,0.10,4.94,7,0.04,6.79,2.7,0,31,39,na,na,na,na,na
五趾襪(Na),19,0.10,4.76,4,0.02,6.71,3.6,0,31,40,na,na,na,na,na
籃球鞋(Na),17,0.09,4.51,2,0.01,6.02,4.1,0,31,41,na,na,na,na,na
膝上襪(Na),14,0.07,5.92,1,0.01,5.59,5.6,0,31,42,na,na,na,na,na
膝上襪(Na),7,0.04,5.1,0,0.00,0,6.0,0,31,43,na,na,na,na,na
過膝襪(Na),4,0.02,7.78,0,0.00,0,5.5,0,31,44,na,na,na,na,na
過膝長襪(Na),1,0.01,7.76,0,0.00,0,8.0,0,31,45,na,na,na,na,na
大腿襪(Na),2,0.01,4.13,1,0.01,5.59,3.0,0,31,46,na,na,na,na,na
運動襪(Na),12,0.06,3.42,0,0.00,0,4.3,0,31,47,na,na,na,na,na
夾腳拖(Na),11,0.06,4.92,2,0.01,8.59,4.6,0,31,48,na,na,na,na,na
夾腳拖(Na),6,0.03,5.39,2,0.01,8.59,4.5,0,31,49,na,na,na,na,na
夾腳拖鞋(Na),2,0.01,4.98,0,0.00,0,5.5,0,31,50,na,na,na,na,na
夾拖(Na),2,0.01,2.78,0,0.00,0,3.5,0,31,51,na,na,na,na,na
夾腳鞋(Na),1,0.01,6.23,0,0.00,0,6.0,0,31,52,na,na,na,na,na
毛襪(Na),11,0.06,5.34,5,0.03,6.02,2.6,0,31,53,68199,57995,3,0.000,97.440
毛襪(Na),10,0.05,5.22,5,0.03,6.02,2.4,0,31,54,68199,57995,3,0.000,97.440
毛線襪(Na),1,0.01,6.5,0,0.00,0,5.0,0,31,55,na,na,na,na,na
網襪(Na),10,0.05,3.89,0,0.00,0,5.3,0,31,56,na,na,na,na,na
NIKE(Na),9,0.05,6.07,6,0.03,6.73,1.7,0,31,57,na,na,na,na,na
NIKE(Na),6,0.03,5.37,4,0.02,6.28,1.8,0,31,58,na,na,na,na,na
耐吉(Na),3,0.02,7.46,2,0.01,7.63,1.3,0,31,59,na,na,na,na,na
馬靴(Na),8,0.04,3.62,3,0.02,4.52,3.3,0,31,60,123512,93826,1,0.000,99.140
艾迪達(Na),8,0.04,3.97,1,0.01,5.11,2.8,0,31,61,na,na,na,na,na
艾迪達(Na),5,0.03,4.72,1,0.01,5.11,2.2,0,31,62,na,na,na,na,na
adidas(Na),3,0.02,2.73,0,0.00,0,3.7,0,31,63,na,na,na,na,na
雨鞋(Na),7,0.04,3.55,0,0.00,0,5.3,1,31,64,65234,57995,3,0.000,97.257
棉襪(Na),7,0.04,3.36,0,0.00,0,4.9,1,31,65,na,na,na,na,na
白襪(Na),7,0.04,3.69,2,0.01,5.33,3.4,1,31,66,na,na,na,na,na
包鞋(Na),7,0.04,3.27,0,0.00,0,4.7,0,31,67,147142,93826,1,0.000,99.624
包鞋(Na),6,0.03,2.86,0,0.00,0,5.0,0,31,68,147142,93826,1,0.000,99.624
包頭鞋(Na),1,0.01,5.72,0,0.00,0,3.0,0,31,69,na,na,na,na,na
登山鞋(Na),6,0.03,5.35,2,0.01,5.51,3.3,0,31,70,114698,93826,1,0.000,98.959
長筒靴(Na),6,0.03,5.59,2,0.01,8.91,4.2,1,31,71,na,na,na,na,na
長筒靴(Na),3,0.02,7.85,2,0.01,8.91,2.0,1,31,72,na,na,na,na,na
長靴(Na),3,0.02,3.32,0,0.00,0,6.3,0,31,73,na,na,na,na,na
半筒襪(Na),5,0.03,4.71,0,0.00,0,4.4,0,31,74,na,na,na,na,na
吊帶襪(Na),5,0.03,3.86,0,0.00,0,5.6,0,31,75,143612,93826,1,0.000,99.552
高筒襪(Na),5,0.03,4.4,1,0.01,5.81,4.4,0,31,76,na,na,na,na,na
釘鞋(Na),5,0.03,3.39,0,0.00,0,5.6,4,31,77,53708,50049,4,0.000,96.461
板鞋(Na),4,0.02,3.57,0,0.00,0,3.5,0,31,78,na,na,na,na,na
楔型鞋(Na),4,0.02,8.29,0,0.00,0,5.3,0,31,79,na,na,na,na,na
黑襪(Na),4,0.02,3.55,0,0.00,0,4.0,0,31,80,na,na,na,na,na
短靴(Na),4,0.02,3.59,0,0.00,0,4.5,0,31,81,na,na,na,na,na
足球鞋(Na),4,0.02,5.12,0,0.00,0,3.5,0,31,82,na,na,na,na,na
芭蕾舞鞋(Na),4,0.02,5.05,0,0.00,0,4.5,0,31,83,na,na,na,na,na
勃肯鞋(Na),4,0.02,8.64,3,0.02,8.95,1.8,0,31,84,na,na,na,na,na
勃肯鞋(Na),3,0.02,7.42,2,0.01,7.27,2.0,0,31,85,na,na,na,na,na
勃肯(Na),1,0.01,12.3,1,0.01,12.3,1.0,0,31,86,na,na,na,na,na
蝴蝶(Na),119,0.59,4.21,34,0.17,4.91,2.8,54,32,1,3568,3565,150,0.003,74.739
蝴蝶(Na),117,0.58,4.21,34,0.17,4.91,2.8,54,32,2,3568,3565,150,0.003,74.739
蝶(Na),2,0.01,3.92,0,0.00,0,3.0,0,32,3,8457,8435,53,0.001,83.489
蟑螂(Na),115,0.57,4.49,39,0.19,4.96,2.5,25,32,4,6537,6537,73,0.001,81.033
蟑螂(Na),114,0.57,4.48,39,0.19,4.96,2.5,25,32,5,6537,6537,73,0.001,81.033
蟑(Na),1,0.01,5.16,0,0.00,0,3.0,0,32,6,98838,93826,1,0.000,98.635
螞蟻(Na),94,0.47,3.96,20,0.10,5.5,2.9,27,32,7,4861,4857,104,0.002,78.048
蚊子(Na),58,0.29,3.79,9,0.05,4.43,3.3,25,32,8,5494,5470,90,0.002,79.302
蚊子(Na),55,0.27,3.84,8,0.04,4.46,3.3,25,32,9,5494,5470,90,0.002,79.302
蚊(Na),3,0.02,2.84,1,0.01,4.19,3.0,0,32,10,8645,8587,52,0.001,83.692
蜜蜂(Na),54,0.27,3.97,8,0.04,6.49,3.3,16,32,11,15348,15270,25,0.001,88.636
蜜蜂(Na),53,0.26,3.85,8,0.04,6.49,3.3,16,32,12,15348,15270,25,0.001,88.636
蜂(Na),1,0.01,10.47,0,0.00,0,3.0,0,32,13,27703,27329,11,0.000,92.892
螳螂(Na),52,0.26,4.16,5,0.03,5.3,3.8,2,32,14,29199,29054,10,0.000,93.226
蜻蜓(Na),52,0.26,5.06,8,0.04,4.89,3.3,4,32,15,13055,12998,31,0.001,87.316
瓢蟲(Na),51,0.25,4.17,17,0.09,4.7,3.0,5,32,16,26018,25841,12,0.000,92.486
蜘蛛(Na),46,0.23,3.6,6,0.03,4.23,3.4,14,32,17,21321,21145,16,0.000,91.119
蒼蠅(Na),44,0.22,3.81,4,0.02,6.79,3.9,18,32,18,16389,16292,23,0.000,89.154
蒼蠅(Na),42,0.21,3.8,4,0.02,6.79,3.9,18,32,19,16389,16292,23,0.000,89.154
蠅(Na),2,0.01,4.04,0,0.00,0,4.5,0,32,20,44557,44359,5,0.000,95.599
毛毛蟲(Na),32,0.16,4.59,8,0.04,5.46,3.4,11,32,21,28816,27329,11,0.000,93.143
蚱蜢(Na),28,0.14,5.23,2,0.01,9.7,4.3,1,32,22,32007,31067,9,0.000,93.782
蚱蜢(Na),27,0.13,5.11,2,0.01,9.7,4.3,1,32,23,32007,31067,9,0.000,93.782
蚱猛(Na),1,0.01,8.33,0,0.00,0,4.0,0,32,24,na,na,na,na,na
甲蟲(Na),26,0.13,4.86,10,0.05,5.27,3.2,1,32,25,56330,50049,4,0.000,96.676
金龜子(Na),24,0.12,5.34,3,0.02,4.69,3.8,3,32,26,83745,70282,2,0.000,98.119
金龜子(Na),23,0.11,5.35,3,0.02,4.69,3.8,3,32,27,83745,70282,2,0.000,98.119
金龜蟲(Na),1,0.01,5.22,0,0.00,0,5.0,0,32,28,na,na,na,na,na
蟬(Na),22,0.11,5.26,2,0.01,9.95,3.9,0,32,29,15291,15270,25,0.001,88.607
蛾(Na),21,0.10,5.79,0,0.00,0,5.4,0,32,30,40896,39808,6,0.000,95.154
蛾(Na),17,0.09,5.86,0,0.00,0,5.4,0,32,31,40896,39808,6,0.000,95.154
飛蛾(Na),4,0.02,5.47,0,0.00,0,5.8,0,32,32,82139,70282,2,0.000,98.053
獨角仙(Na),20,0.10,7.93,3,0.02,8.46,3.3,0,32,33,72776,70282,2,0.000,97.670
竹節蟲(Na),18,0.09,6.26,2,0.01,10.05,4.1,0,32,34,86902,70282,2,0.000,98.248
蟋蟀(Na),17,0.09,4.02,0,0.00,0,4.4,10,32,35,6833,6831,69,0.001,81.466
天牛(Na),14,0.07,4.81,4,0.02,5.62,4.0,1,32,36,149492,93826,1,0.000,99.672
螢火蟲(Na),12,0.06,4.71,1,0.01,13.42,4.4,13,32,37,16348,16292,23,0.000,89.135
蝗蟲(Na),12,0.06,4.01,0,0.00,0,5.0,1,32,38,12109,12064,34,0.001,86.681
鍬形蟲(Na),11,0.06,10.48,2,0.01,9.12,3.6,1,32,39,50598,50049,4,0.000,96.207
蜈蚣(Na),8,0.04,6.99,0,0.00,0,5.5,0,32,40,18867,18703,19,0.000,90.229
跳蚤(Na),8,0.04,3.87,0,0.00,0,3.8,11,32,41,15375,15270,25,0.001,88.650
蚜蟲(Na),8,0.04,6.7,0,0.00,0,5.5,1,32,42,124284,93826,1,0.000,99.156
蠶(Na),7,0.04,6.19,1,0.01,6.05,3.6,0,32,43,27344,27329,11,0.000,92.811
蠶(Na),4,0.02,5.06,0,0.00,0,4.8,0,32,44,27344,27329,11,0.000,92.811
蠶寶寶(Na),3,0.02,7.7,1,0.01,6.05,2.0,5,32,45,na,na,na,na,na
蚯蚓(Na),7,0.04,6.39,1,0.01,5.64,3.9,5,32,46,15458,15270,25,0.001,88.692
六隻腳(Na),5,0.03,5.27,1,0.01,6.98,4.4,0,32,47,na,na,na,na,na
噁心(Na),4,0.02,3.93,0,0.00,0,5.0,9,32,48,na,na,na,na,na
噁心(Na),3,0.02,4.37,0,0.00,0,5.3,9,32,49,na,na,na,na,na
好噁(Na),1,0.01,2.62,0,0.00,0,4.0,0,32,50,na,na,na,na,na
白蟻(Na),4,0.02,2.73,0,0.00,0,6.0,2,32,51,32973,31067,9,0.000,93.960
椿象(Na),4,0.02,9.57,2,0.01,11.65,4.5,2,32,52,na,na,na,na,na
玫瑰(Na),170,0.84,4.35,79,0.39,4.61,2.1,30,33,1,6417,6367,75,0.002,80.851
玫瑰(Na),153,0.76,4.25,67,0.33,4.59,2.2,30,33,2,6417,6367,75,0.002,80.851
玫瑰花(Na),17,0.09,5.21,12,0.06,4.72,1.8,8,33,3,12531,12350,33,0.001,86.971
百合(Na),116,0.57,3.92,26,0.13,4.44,2.7,7,33,4,15163,14812,26,0.001,88.539
百合(Na),108,0.54,3.9,24,0.12,4.36,2.7,7,33,5,15163,14812,26,0.001,88.539
百合花(Na),8,0.04,4.23,2,0.01,5.34,2.8,4,33,6,35643,33467,8,0.000,94.408
康乃馨(Na),72,0.36,4.72,7,0.04,6.55,3.6,7,33,7,53445,50049,4,0.000,96.440
菊花(Na),70,0.35,3.68,3,0.02,4.11,4.0,7,33,8,13745,13643,29,0.001,87.743
菊花(Na),63,0.31,3.65,3,0.02,4.11,4.0,7,33,9,13745,13643,29,0.001,87.743
菊(Na),7,0.04,3.93,0,0.00,0,3.4,0,33,10,37498,36388,7,0.000,94.689
滿天星(Na),46,0.23,4.54,0,0.00,0,4.9,1,33,11,45522,44359,5,0.000,95.698
向日葵(Na),45,0.22,5.43,10,0.05,6.06,3.2,4,33,12,15638,15270,25,0.001,88.784
鬱金香(Na),38,0.19,4.8,9,0.05,4.4,3.1,3,33,13,29059,29054,10,0.000,93.197
蘭花(Na),32,0.16,3.51,1,0.01,3.14,4.4,5,33,14,9829,9828,44,0.001,84.858
蘭花(Na),27,0.13,3.54,1,0.01,3.14,4.5,5,33,15,9829,9828,44,0.001,84.858
蘭(Na),5,0.03,3.35,0,0.00,0,3.8,0,33,16,33519,33467,8,0.000,94.060
杜鵑(Na),28,0.14,3.84,7,0.04,4.73,2.6,7,33,17,10343,10211,42,0.001,85.312
牡丹(Na),27,0.13,3.79,5,0.03,5.13,3.9,28,33,18,19197,18703,19,0.000,90.358
海芋(Na),19,0.10,6.99,0,0.00,0,4.1,0,33,19,na,na,na,na,na
梅花(Na),19,0.09,3.49,2,0.01,5.94,3.8,3,33,20,10085,10016,43,0.001,85.087
梅花(Na),16,0.08,3.21,1,0.01,3.45,3.7,3,33,21,10085,10016,43,0.001,85.087
梅(Na),3,0.02,4.96,1,0.01,8.42,4.3,0,33,22,26463,25841,12,0.000,92.595
水仙(Na),18,0.09,3.16,0,0.00,0,4.2,1,33,23,43695,39808,6,0.000,95.498
水仙(Na),16,0.08,3.01,0,0.00,0,4.3,1,33,24,43695,39808,6,0.000,95.498
水仙花(Na),2,0.01,4.37,0,0.00,0,3.5,1,33,25,27125,25841,12,0.000,92.758
茉莉(Na),16,0.08,4.13,0,0.00,0,4.8,2,33,26,38255,36388,7,0.000,94.797
茉莉(Na),13,0.07,4.04,0,0.00,0,4.9,2,33,27,38255,36388,7,0.000,94.797
茉莉花(Na),3,0.02,4.54,0,0.00,0,4.7,5,33,28,47370,44359,5,0.000,95.887
櫻花(Na),15,0.08,5.63,4,0.02,6.7,3.2,2,33,29,7363,7361,63,0.001,82.187
牽牛花(Na),15,0.07,5.25,5,0.03,5.48,3.5,10,33,30,53214,50049,4,0.000,96.421
牽牛花(Na),12,0.06,4.7,4,0.02,5.39,3.5,10,33,31,53214,50049,4,0.000,96.421
牽牛(Na),3,0.02,7.43,1,0.01,5.84,3.3,2,33,32,na,na,na,na,na
紫羅蘭(Na),14,0.07,6.89,2,0.01,7.27,3.7,2,33,33,46114,44359,5,0.000,95.759
蓮花(Na),14,0.07,4.24,1,0.01,5.59,4.6,19,33,34,15331,15270,25,0.001,88.627
蓮花(Na),11,0.06,3.44,1,0.01,5.59,4.5,19,33,35,15331,15270,25,0.001,88.627
蓮(Na),3,0.02,7.15,0,0.00,0,5.3,0,33,36,21282,21145,16,0.000,91.106
日日春(Na),12,0.06,4.4,1,0.01,4.67,4.5,0,33,37,148629,93826,1,0.000,99.654
荷花(Na),12,0.06,3.57,0,0.00,0,4.1,9,33,38,16495,16292,23,0.000,89.204
薔薇(Na),11,0.06,5.05,1,0.01,4.88,4.0,1,33,39,44792,44359,5,0.000,95.623
桔梗(Na),10,0.05,6.5,0,0.00,0,3.8,0,33,40,81543,70282,2,0.000,98.029
木棉花(Na),10,0.05,4.21,4,0.02,4.36,3.3,2,33,41,148469,93826,1,0.000,99.651
木棉花(Na),3,0.02,4.2,1,0.01,3.84,4.3,2,33,42,148469,93826,1,0.000,99.651
木棉(Na),7,0.04,4.22,3,0.02,4.53,2.9,2,33,43,30784,29054,10,0.000,93.551
桂花(Na),10,0.05,3.19,0,0.00,0,4.4,1,33,44,11421,11292,37,0.001,86.179
桂花(Na),9,0.05,3.25,0,0.00,0,4.6,1,33,45,11421,11292,37,0.001,86.179
桂(Na),1,0.01,2.61,0,0.00,0,3.0,0,33,46,na,na,na,na,na
太陽花(Na),9,0.05,6.31,5,0.03,7.71,2.6,0,33,47,na,na,na,na,na
薰衣草(Na),9,0.05,6.46,0,0.00,0,3.8,0,33,48,na,na,na,na,na
薰衣草(Na),8,0.04,6.72,0,0.00,0,3.6,0,33,49,na,na,na,na,na
薰衣(Na),1,0.01,4.34,0,0.00,0,5.0,0,33,50,na,na,na,na,na
風信子(Na),7,0.04,6.67,1,0.01,4.33,3.3,0,33,51,64385,57995,3,0.000,97.205
天堂鳥(Na),6,0.03,4.42,0,0.00,0,4.7,1,33,52,149433,93826,1,0.000,99.671
桃花(Na),6,0.03,3.54,0,0.00,0,4.3,8,33,53,14605,14411,27,0.001,88.238
桃花(Na),4,0.02,2.89,0,0.00,0,3.5,8,33,54,14605,14411,27,0.001,88.238
桃(Na),2,0.01,4.83,0,0.00,0,6.0,0,33,55,23840,23198,14,0.000,91.896
鳳仙花(Na),6,0.03,5.37,0,0.00,0,3.8,1,33,56,74203,70282,2,0.000,97.728
鳳仙花(Na),3,0.02,4.46,0,0.00,0,4.3,1,33,57,74203,70282,2,0.000,97.728
鳳仙(Na),3,0.02,6.27,0,0.00,0,3.3,0,33,58,na,na,na,na,na
雛菊(Na),5,0.03,6.59,0,0.00,0,4.8,5,33,59,97131,93826,1,0.000,98.600
火鶴(Na),5,0.03,4.14,1,0.01,3.41,3.8,0,33,60,148148,93826,1,0.000,99.645
火鶴(Na),4,0.02,3.97,1,0.01,3.41,3.5,0,33,61,148148,93826,1,0.000,99.645
火鶴花(Na),1,0.01,4.81,0,0.00,0,5.0,0,33,62,89146,70282,2,0.000,98.340
鳶尾花(Na),5,0.03,6.24,1,0.01,9.22,3.4,0,33,63,74207,70282,2,0.000,97.728
鳶尾花(Na),3,0.02,6.44,1,0.01,9.22,3.0,0,33,64,74207,70282,2,0.000,97.728
鳶尾(Na),2,0.01,5.94,0,0.00,0,4.0,0,33,65,na,na,na,na,na
油桐(Na),5,0.03,7.51,0,0.00,0,4.2,1,33,66,na,na,na,na,na
油桐(Na),3,0.02,7.03,0,0.00,0,4.0,1,33,67,na,na,na,na,na
油桐花(Na),2,0.01,8.24,0,0.00,0,4.5,3,33,68,133680,93826,1,0.000,99.348
杜鵑花(Na),4,0.02,5.06,2,0.01,5.25,2.5,4,33,69,13897,13643,29,0.001,87.833
情人節(Na),4,0.02,5.53,0,0.00,0,3.8,5,33,70,na,na,na,na,na
小雛菊(Na),4,0.02,6.16,0,0.00,0,4.5,0,33,71,na,na,na,na,na
七里香(Na),4,0.02,3.87,0,0.00,0,5.5,1,33,72,154688,93826,1,0.000,99.778
蒲公英(Na),4,0.02,6.81,2,0.01,5.63,3.0,4,33,73,51520,50049,4,0.000,96.282
扶桑花(Na),4,0.02,6.29,2,0.01,6.46,2.0,0,33,74,85963,70282,2,0.000,98.210
扶桑花(Na),3,0.02,6.14,1,0.01,6.17,2.3,0,33,75,85963,70282,2,0.000,98.210
扶桑(Na),1,0.01,6.74,1,0.01,6.74,1.0,0,33,76,85964,70282,2,0.000,98.210
感冒(Na),101,0.50,4.41,41,0.20,5.16,2.3,33,34,1,8754,8719,51,0.001,83.807
癌症(Na),93,0.46,6.04,34,0.17,6.36,2.8,42,34,2,2006,2005,293,0.006,68.115
癌症(Na),84,0.42,6.03,31,0.15,6.34,2.8,42,34,3,2006,2005,293,0.006,68.115
癌(Na),9,0.05,6.09,3,0.02,6.54,2.8,0,34,4,2765,2765,201,0.004,71.877
心臟病(Na),60,0.30,4.62,15,0.08,5.28,2.8,38,34,5,8421,8317,54,0.001,83.450
愛滋病(Na),53,0.26,4.75,27,0.13,4.5,2.0,166,34,6,4348,4337,119,0.002,76.873
愛滋病(Na),29,0.14,4.84,15,0.08,4.63,1.8,166,34,7,4348,4337,119,0.002,76.873
愛滋(Na),18,0.09,4.53,10,0.05,4.03,2.1,15,34,8,14116,14008,28,0.001,87.961
AIDS(Na),6,0.03,5.01,2,0.01,5.87,3.0,0,34,9,na,na,na,na,na
糖尿病(Na),46,0.23,4.64,8,0.04,5.05,3.2,39,34,10,7970,7953,57,0.001,82.937
糖尿病(Na),45,0.22,4.58,8,0.04,5.05,3.2,39,34,11,7970,7953,57,0.001,82.937
糖尿(Na),1,0.01,7.25,0,0.00,0,5.0,1,34,12,na,na,na,na,na
高血壓(Na),39,0.19,4.03,1,0.01,7.23,3.6,8,34,13,4533,4514,114,0.002,77.315
流感(Na),30,0.15,5.28,3,0.02,7.74,3.0,0,34,14,na,na,na,na,na
流感(Na),23,0.11,5.28,1,0.01,7.97,3.3,0,34,15,na,na,na,na,na
流行性感冒(Na),6,0.03,5.66,2,0.01,7.62,2.2,0,34,16,na,na,na,na,na
流行感冒(Na),1,0.01,3.05,0,0.00,0,2.0,1,34,17,na,na,na,na,na
禽流感(Na),24,0.12,6.41,3,0.02,7.76,3.5,0,34,18,na,na,na,na,na
豬流感(Na),22,0.11,6.4,7,0.04,7.45,2.4,0,34,19,na,na,na,na,na
肺炎(Na),19,0.10,5.53,1,0.01,10.95,3.6,4,34,20,17189,16831,22,0.000,89.524
發燒(Na),19,0.10,2.88,1,0.01,3.36,3.6,39,34,21,na,na,na,na,na
SARS(Na),18,0.09,4.68,6,0.03,7.42,3.2,0,34,22,na,na,na,na,na
瘧疾(Na),13,0.07,3.7,3,0.02,4.08,2.5,18,34,23,27642,27329,11,0.000,92.878
中風(Na),13,0.07,3.53,1,0.01,4.73,4.5,6,34,24,151043,93826,1,0.000,99.704
腸胃炎(Na),13,0.07,6.18,0,0.00,0,3.6,2,34,25,75822,70282,2,0.000,97.795
過敏(Na),10,0.05,3.12,0,0.00,0,4.8,25,34,26,na,na,na,na,na
肺結核(Na),10,0.05,5.33,1,0.01,10.75,3.5,2,34,27,21777,21145,16,0.000,91.269
肝炎(Na),10,0.05,3.58,0,0.00,0,4.2,37,34,28,2786,2779,200,0.004,71.963
白血病(Na),10,0.05,7.34,3,0.02,6.26,2.9,8,34,29,25587,24499,13,0.000,92.374
白血病(Na),8,0.04,6.42,3,0.02,6.26,2.3,8,34,30,25587,24499,13,0.000,92.374
白血症(Na),1,0.01,9.7,0,0.00,0,7.0,0,34,31,144806,93826,1,0.000,99.576
白血(Na),1,0.01,12.31,0,0.00,0,4.0,0,34,32,na,na,na,na,na
H1N1(Na),9,0.05,6.09,2,0.01,9.4,2.7,0,34,33,na,na,na,na,na
霍亂(Na),9,0.05,3.1,3,0.02,3.97,2.8,3,34,34,14444,14411,27,0.001,88.149
流鼻水(Na),9,0.05,4.04,1,0.01,5.42,4.7,0,34,35,na,na,na,na,na
流鼻水(Na),8,0.04,3.87,0,0.00,0,5.1,0,34,36,na,na,na,na,na
流鼻涕(Na),1,0.01,5.42,1,0.01,5.42,1.0,1,34,37,na,na,na,na,na
憂鬱症(Na),9,0.05,5.75,1,0.01,6.75,3.0,1,34,38,33920,33467,8,0.000,94.125
憂鬱症(Na),8,0.04,6.12,1,0.01,6.75,2.9,1,34,39,33920,33467,8,0.000,94.125
憂鬱(Na),1,0.01,2.81,0,0.00,0,4.0,9,34,40,na,na,na,na,na
頭痛(Na),8,0.04,5.22,1,0.01,4.61,4.4,41,34,41,na,na,na,na,na
天花(Na),8,0.04,4.88,4,0.02,3.5,2.5,1,34,42,68424,57995,3,0.000,97.453
咳嗽(Na),8,0.04,4.6,0,0.00,0,3.5,15,34,43,na,na,na,na,na
痛風(Na),8,0.04,4.74,0,0.00,0,3.9,2,34,44,15424,15270,25,0.001,88.675
氣喘(Na),7,0.04,5.75,1,0.01,5.26,4.0,10,34,45,16546,16292,23,0.000,89.228
醫生(Na),7,0.04,3.02,0,0.00,0,5.6,236,34,46,1362,1361,460,0.009,63.300
新流感(Na),7,0.04,5.1,2,0.01,5.7,2.3,0,34,47,na,na,na,na,na
新流感(Na),5,0.03,5.18,2,0.01,5.7,2.0,0,34,48,na,na,na,na,na
新型流感(Na),2,0.01,4.9,0,0.00,0,3.0,0,34,49,na,na,na,na,na
黑死病(Na),6,0.03,5.5,4,0.02,6.37,2.0,0,34,50,61475,57995,3,0.000,97.026
腹瀉(Na),6,0.03,5.69,0,0.00,0,4.2,19,34,51,na,na,na,na,na
乳癌(Na),6,0.03,7.35,2,0.01,15.1,3.7,8,34,52,13220,12998,31,0.001,87.421
口蹄疫(Na),6,0.03,5.38,0,0.00,0,3.0,0,34,53,na,na,na,na,na
關節炎(Na),5,0.03,5.37,0,0.00,0,3.8,3,34,54,14829,14812,26,0.001,88.361
青光眼(Na),5,0.03,4.29,0,0.00,0,4.0,0,34,55,17183,16831,22,0.000,89.521
小兒麻痺(Na),5,0.03,6.08,0,0.00,0,3.8,2,34,56,33257,31067,9,0.000,94.012
大腸癌(Na),5,0.03,6.9,0,0.00,0,5.4,2,34,57,30902,29054,10,0.000,93.575
胃痛(Na),5,0.03,5.02,0,0.00,0,4.2,5,34,58,na,na,na,na,na
胃潰瘍(Na),5,0.03,3.29,0,0.00,0,5.2,5,34,59,19093,18703,19,0.000,90.317
香港腳(Na),5,0.03,4.53,0,0.00,0,5.2,9,34,60,19850,19413,18,0.000,90.603
登革熱(Na),4,0.02,4.63,0,0.00,0,4.0,20,34,61,15922,15761,24,0.000,88.927
醫院(Na),4,0.02,4.33,0,0.00,0,4.5,180,34,62,na,na,na,na,na
傷寒(Na),4,0.02,3.56,0,0.00,0,3.0,1,34,63,45933,44359,5,0.000,95.740
梅毒(Na),4,0.02,4.11,0,0.00,0,5.3,11,34,64,62960,57995,3,0.000,97.118
腎衰竭(Na),4,0.02,3.24,0,0.00,0,5.3,0,34,65,61792,57995,3,0.000,97.046
